filename, language, JSON with Comments, Markdown, JSON, Properties, JavaScript, XML, C#, HTML, TypeScript, CSS, comment, blank, total
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Helpers\Extensions.cs, C#, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 9, 72
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Helpers\LogUserActivity.cs, C#, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 2, 24
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Helpers\MessageParams.cs, C#, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Helpers\PagedList.cs, C#, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 4, 33
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Helpers\PaginationHeader.cs, C#, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Helpers\UserParams.cs, C#, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 2, 23
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Migrations\20190909094326_InitialCreate.Designer.cs, C#, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 1, 6, 35
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Migrations\20190909094326_InitialCreate.cs, C#, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 3, 30
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Migrations\20190910081328_AddedUserEntity.Designer.cs, C#, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 1, 12, 52
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Migrations\20190910081328_AddedUserEntity.cs, C#, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 3, 33
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Migrations\20190912104134_ExtendedUserClass.Designer.cs, C#, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 1, 32, 102
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Migrations\20190912104134_ExtendedUserClass.cs, C#, 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 24, 139
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Migrations\20191009145604_AddedPublicId.Designer.cs, C#, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 1, 33, 104
